County or equivalent,State or equivalent,Population (2019 estimate),Core Based Statistical Area
Autauga,Alabama,"55,869","Montgomery, AL Metropolitan Statistical Area"
Baldwin,Alabama,"223,234","Daphne-Fairhope-Foley, AL Metropolitan Statistical Area"
Barbour,Alabama,"24,686",
Bibb,Alabama,"22,394","Birmingham-Hoover, AL Metropolitan Statistical Area"
Blount,Alabama,"57,826","Birmingham-Hoover, AL Metropolitan Statistical Area"
Bullock,Alabama,"10,101",
Butler,Alabama,"19,448",
Calhoun,Alabama,"113,605","Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area"
Chambers,Alabama,"33,254","Valley, AL Micropolitan Statistical Area"
Cherokee,Alabama,"26,196",
Chilton,Alabama,"44,428","Birmingham-Hoover, AL Metropolitan Statistical Area"
Choctaw,Alabama,"12,589",
Clarke,Alabama,"23,622",
Clay,Alabama,"13,235",
Cleburne,Alabama,"14,910",
Coffee,Alabama,"52,342","Enterprise, AL Micropolitan Statistical Area"
Colbert,Alabama,"55,241","Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Conecuh,Alabama,"12,067",
Coosa,Alabama,"10,663","Talladega-Sylacauga, AL Micropolitan Statistical Area"
Covington,Alabama,"37,049",
Crenshaw,Alabama,"13,772",
Cullman,Alabama,"83,768","Cullman, AL Micropolitan Statistical Area"
Dale,Alabama,"49,172","Ozark, AL Micropolitan Statistical Area"
Dallas,Alabama,"37,196","Selma, AL Micropolitan Statistical Area"
DeKalb,Alabama,"71,513",
Elmore,Alabama,"81,209","Montgomery, AL Metropolitan Statistical Area"
Escambia,Alabama,"36,633",
Etowah,Alabama,"102,268","Gadsden, AL Metropolitan Statistical Area"
Fayette,Alabama,"16,302",
Franklin,Alabama,"31,362",
Geneva,Alabama,"26,271","Dothan, AL Metropolitan Statistical Area"
Greene,Alabama,"8,111",
Hale,Alabama,"14,651","Tuscaloosa, AL Metropolitan Statistical Area"
Henry,Alabama,"17,205","Dothan, AL Metropolitan Statistical Area"
Houston,Alabama,"105,882","Dothan, AL Metropolitan Statistical Area"
Jackson,Alabama,"51,626","Scottsboro, AL Micropolitan Statistical Area"
Jefferson,Alabama,"658,573","Birmingham-Hoover, AL Metropolitan Statistical Area"
Lamar,Alabama,"13,805",
Lauderdale,Alabama,"92,729","Florence-Muscle Shoals, AL Metropolitan Statistical Area"
Lawrence,Alabama,"32,924","Decatur, AL Metropolitan Statistical Area"
Lee,Alabama,"164,542","Auburn-Opelika, AL Metropolitan Statistical Area"
Limestone,Alabama,"98,915","Huntsville, AL Metropolitan Statistical Area"
Lowndes,Alabama,"9,726","Montgomery, AL Metropolitan Statistical Area"
Macon,Alabama,"18,068",
Madison,Alabama,"372,909","Huntsville, AL Metropolitan Statistical Area"
Marengo,Alabama,"18,863",
Marion,Alabama,"29,709",
Marshall,Alabama,"96,774","Albertville, AL Micropolitan Statistical Area"
Mobile,Alabama,"413,210","Mobile, AL Metropolitan Statistical Area"
Monroe,Alabama,"20,733",
Montgomery,Alabama,"226,486","Montgomery, AL Metropolitan Statistical Area"
Morgan,Alabama,"119,679","Decatur, AL Metropolitan Statistical Area"
Perry,Alabama,"8,923",
Pickens,Alabama,"19,930","Tuscaloosa, AL Metropolitan Statistical Area"
Pike,Alabama,"33,114","Troy, AL Micropolitan Statistical Area"
Randolph,Alabama,"22,722",
Russell,Alabama,"57,961","Columbus, GA-AL Metropolitan Statistical Area"
St. Clair,Alabama,"89,512","Birmingham-Hoover, AL Metropolitan Statistical Area"
Shelby,Alabama,"217,702","Birmingham-Hoover, AL Metropolitan Statistical Area"
Sumter,Alabama,"12,427",
Talladega,Alabama,"79,978","Talladega-Sylacauga, AL Micropolitan Statistical Area"
Tallapoosa,Alabama,"40,367",
Tuscaloosa,Alabama,"209,355","Tuscaloosa, AL Metropolitan Statistical Area"
Walker,Alabama,"63,521","Birmingham-Hoover, AL Metropolitan Statistical Area"
Washington,Alabama,"16,326",
Wilcox,Alabama,"10,373",
Winston,Alabama,"23,629",
Aleutians East Borough[d],Alaska,"3,337",
Aleutians West Census Area[e],Alaska,"5,634",
"Anchorage, Municipality of[d][f]",Alaska,"288,000","Anchorage, AK Metropolitan Statistical Area"
Bethel Census Area[e],Alaska,"18,386",
Bristol Bay Borough[d],Alaska,836,
Chugach Census Area[e],Alaska,"6,734",
Copper River Census Area[e],Alaska,"2,764",
Denali Borough[d],Alaska,"2,097",
Dillingham Census Area[e],Alaska,"4,916",
Fairbanks North Star Borough[d],Alaska,"96,849","Fairbanks, AK Metropolitan Statistical Area"
Haines Borough[d],Alaska,"2,530",
Hoonah–Angoon Census Area[e],Alaska,"2,148",
"Juneau, City and Borough of[d][g]",Alaska,"31,974","Juneau, AK Micropolitan Statistical Area"
Kenai Peninsula Borough[d],Alaska,"58,708",
Ketchikan Gateway Borough[d],Alaska,"13,901","Ketchikan, AK Micropolitan Statistical Area"
Kodiak Island Borough[d],Alaska,"12,998",
Kusilvak Census Area[e],Alaska,"8,314",
Lake and Peninsula Borough[d],Alaska,"1,592",
Matanuska-Susitna Borough[d],Alaska,"108,317","Anchorage, AK Metropolitan Statistical Area"
Nome Census Area[e],Alaska,"10,004",
North Slope Borough[d],Alaska,"9,832",
Northwest Arctic Borough[d],Alaska,"7,621",
Petersburg Borough[d][h],Alaska,"3,266",
Prince of Wales – Hyder Census Area[e],Alaska,"6,203",
"Sitka, City and Borough of[d][i]",Alaska,"8,493",
"Skagway, Municipality of[d]",Alaska,"1,183",
Southeast Fairbanks Census Area[e],Alaska,"6,893",
"Wrangell, City and Borough of[d]",Alaska,"2,502",
"Yakutat, City and Borough of[d][j]",Alaska,579,
Yukon–Koyukuk Census Area[e],Alaska,"5,230",
Eastern District[12],American Samoa,"23,030",
Manu'a District[12],American Samoa,"1,143",
Rose Atoll (Rose Island)[12],American Samoa,0,
Swains Island[12],American Samoa,17,
Western District[12],American Samoa,"31,329",
Apache,Arizona,"71,887",
Cochise,Arizona,"125,922","Sierra Vista-Douglas, AZ Metropolitan Statistical Area"
Coconino,Arizona,"143,476","Flagstaff, AZ Metropolitan Statistical Area"
Gila,Arizona,"54,018","Payson, AZ Micropolitan Statistical Area"
Graham,Arizona,"38,837","Safford, AZ Micropolitan Statistical Area"
Greenlee,Arizona,"9,498",
La Paz,Arizona,"21,108",
Maricopa,Arizona,"4,485,414","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
Mohave,Arizona,"212,181","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area"
Navajo,Arizona,"110,924","Show Low, AZ Micropolitan Statistical Area"
Pima,Arizona,"1,047,279","Tucson, AZ Metropolitan Statistical Area"
Pinal,Arizona,"462,789","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
Santa Cruz,Arizona,"46,498","Nogales, AZ Micropolitan Statistical Area"
Yavapai,Arizona,"235,099","Prescott, AZ Metropolitan Statistical Area"
Yuma,Arizona,"213,787","Yuma, AZ Metropolitan Statistical Area"
Arkansas,Arkansas,"17,486",
Ashley,Arkansas,"19,657",
Baxter,Arkansas,"41,932","Mountain Home, AR Micropolitan Statistical Area"
Benton,Arkansas,"279,141","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
Boone,Arkansas,"37,432","Harrison, AR Micropolitan Statistical Area"
Bradley,Arkansas,"10,763",
Calhoun,Arkansas,"5,189","Camden, AR Micropolitan Statistical Area"
Carroll,Arkansas,"28,380",
Chicot,Arkansas,"10,118",
Clark,Arkansas,"22,320","Arkadelphia, AR Micropolitan Statistical Area"
Clay,Arkansas,"14,551",
Cleburne,Arkansas,"24,919",
Cleveland,Arkansas,"7,956","Pine Bluff, AR Metropolitan Statistical Area"
Columbia,Arkansas,"23,457","Magnolia, AR Micropolitan Statistical Area"
Conway,Arkansas,"20,846",
Craighead,Arkansas,"110,332","Jonesboro, AR Metropolitan Statistical Area"
Crawford,Arkansas,"63,257","Fort Smith, AR-OK Metropolitan Statistical Area"
Crittenden,Arkansas,"47,955","Memphis, TN-MS-AR Metropolitan Statistical Area"
Cross,Arkansas,"16,419",
Dallas,Arkansas,"7,009",
Desha,Arkansas,"11,361",
Drew,Arkansas,"18,219",
Faulkner,Arkansas,"126,007","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Franklin,Arkansas,"17,715",
Fulton,Arkansas,"12,477",
Garland,Arkansas,"99,386","Hot Springs, AR Metropolitan Statistical Area"
Grant,Arkansas,"18,265","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Greene,Arkansas,"45,325","Paragould, AR Micropolitan Statistical Area"
Hempstead,Arkansas,"21,532",
Hot Spring,Arkansas,"33,771","Malvern, AR Micropolitan Statistical Area"
Howard,Arkansas,"13,202",
Independence,Arkansas,"37,825","Batesville, AR Micropolitan Statistical Area"
Izard,Arkansas,"13,629",
Jackson,Arkansas,"16,719",
Jefferson,Arkansas,"66,824","Pine Bluff, AR Metropolitan Statistical Area"
Johnson,Arkansas,"26,578",
Lafayette,Arkansas,"6,624",
Lawrence,Arkansas,"16,406",
Lee,Arkansas,"8,857",
Lincoln,Arkansas,"13,024","Pine Bluff, AR Metropolitan Statistical Area"
Little River,Arkansas,"12,259","Texarkana, TX-AR Metropolitan Statistical Area"
Logan,Arkansas,"21,466",
Lonoke,Arkansas,"73,309","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Madison,Arkansas,"16,576","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
Marion,Arkansas,"16,694",
Miller,Arkansas,"43,257","Texarkana, TX-AR Metropolitan Statistical Area"
Mississippi,Arkansas,"40,651","Blytheville, AR Micropolitan Statistical Area"
Monroe,Arkansas,"6,701",
Montgomery,Arkansas,"8,986",
Nevada,Arkansas,"8,252",
Newton,Arkansas,"7,753","Harrison, AR Micropolitan Statistical Area"
Ouachita,Arkansas,"23,382","Camden, AR Micropolitan Statistical Area"
Perry,Arkansas,"10,455","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Phillips,Arkansas,"17,782","Helena-West Helena, AR Micropolitan Statistical Area"
Pike,Arkansas,"10,718",
Poinsett,Arkansas,"23,528","Jonesboro, AR Metropolitan Statistical Area"
Polk,Arkansas,"19,964",
Pope,Arkansas,"64,072","Russellville, AR Micropolitan Statistical Area"
Prairie,Arkansas,"8,062",
Pulaski,Arkansas,"391,911","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Randolph,Arkansas,"17,958",
St. Francis,Arkansas,"24,994","Forrest City, AR Micropolitan Statistical Area"
Saline,Arkansas,"122,437","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
Scott,Arkansas,"10,281",
Searcy,Arkansas,"7,881",
Sebastian,Arkansas,"127,827","Fort Smith, AR-OK Metropolitan Statistical Area"
Sevier,Arkansas,"17,007",
Sharp,Arkansas,"17,442",
Stone,Arkansas,"12,506",
Union,Arkansas,"38,682","El Dorado, AR Micropolitan Statistical Area"
Van Buren,Arkansas,"16,545",
Washington,Arkansas,"239,187","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
White,Arkansas,"78,753","Searcy, AR Micropolitan Statistical Area"
Woodruff,Arkansas,"6,320",
Yell,Arkansas,"21,341","Russellville, AR Micropolitan Statistical Area"
Alameda,California,"1,671,329","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Alpine,California,"1,129",
Amador,California,"39,752",
Butte,California,"219,186","Chico, CA Metropolitan Statistical Area"
Calaveras,California,"45,905",
Colusa,California,"21,547",
Contra Costa,California,"1,153,526","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Del Norte,California,"27,812","Crescent City, CA Micropolitan Statistical Area"
El Dorado,California,"192,843","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Fresno,California,"999,101","Fresno, CA Metropolitan Statistical Area"
Glenn,California,"28,393",
Humboldt,California,"135,558","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area"
Imperial,California,"181,215","El Centro, CA Metropolitan Statistical Area"
Inyo,California,"18,039",
Kern,California,"900,202","Bakersfield, CA Metropolitan Statistical Area"
Kings,California,"152,940","Hanford-Corcoran, CA Metropolitan Statistical Area"
Lake,California,"64,386","Clearlake, CA Micropolitan Statistical Area"
Lassen,California,"30,573","Susanville, CA Micropolitan Statistical Area"
Los Angeles,California,"10,039,107","Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
Madera,California,"157,327","Madera, CA Metropolitan Statistical Area"
Marin,California,"258,826","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Mariposa,California,"17,203",
Mendocino,California,"86,749","Ukiah, CA Micropolitan Statistical Area"
Merced,California,"277,680","Merced, CA Metropolitan Statistical Area"
Modoc,California,"8,841",
Mono,California,"14,444",
Monterey,California,"434,061","Salinas, CA Metropolitan Statistical Area"
Napa,California,"137,744","Napa, CA Metropolitan Statistical Area"
Nevada,California,"99,755","Truckee-Grass Valley, CA Micropolitan Statistical Area"
Orange,California,"3,175,692","Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
Placer,California,"398,329","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Plumas,California,"18,807",
Riverside,California,"2,470,546","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
Sacramento,California,"1,552,058","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
San Benito,California,"62,808","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
San Bernardino,California,"2,180,085","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
San Diego,California,"3,338,330","San Diego-Carlsbad, CA Metropolitan Statistical Area"
"San Francisco, City and County of[k]",California,"881,549","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
San Joaquin,California,"762,148","Stockton-Lodi, CA Metropolitan Statistical Area"
San Luis Obispo,California,"283,111","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area"
San Mateo,California,"766,573","San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
Santa Barbara,California,"446,499","Santa Maria-Santa Barbara, CA Metropolitan Statistical Area"
Santa Clara,California,"1,927,852","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
Santa Cruz,California,"273,213","Santa Cruz-Watsonville, CA Metropolitan Statistical Area"
Shasta,California,"180,080","Redding, CA Metropolitan Statistical Area"
Sierra,California,"3,005",
Siskiyou,California,"43,539",
Solano,California,"447,643","Vallejo-Fairfield, CA Metropolitan Statistical Area"
Sonoma,California,"494,336","Santa Rosa, CA Metropolitan Statistical Area"
Stanislaus,California,"550,660","Modesto, CA Metropolitan Statistical Area"
Sutter,California,"96,971","Yuba City, CA Metropolitan Statistical Area"
Tehama,California,"65,084","Red Bluff, CA Micropolitan Statistical Area"
Trinity,California,"12,285",
Tulare,California,"466,195","Visalia-Porterville, CA Metropolitan Statistical Area"
Tuolumne,California,"54,478","Sonora, CA Micropolitan Statistical Area"
Ventura,California,"846,006","Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area"
Yolo,California,"220,500","Sacramento–Roseville–Arden-Arcade, CA Metropolitan Statistical Area"
Yuba,California,"78,668","Yuba City, CA Metropolitan Statistical Area"
Adams,Colorado,"517,421","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Alamosa,Colorado,"16,233",
Arapahoe,Colorado,"656,590","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Archuleta,Colorado,"14,029",
Baca,Colorado,"3,581",
Bent,Colorado,"5,577",
Boulder,Colorado,"326,196","Boulder, CO Metropolitan Statistical Area"
"Broomfield, City and County of[l]",Colorado,"70,465","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Chaffee,Colorado,"20,356",
Cheyenne,Colorado,"1,831",
Clear Creek,Colorado,"9,700","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Conejos,Colorado,"8,205",
Costilla,Colorado,"3,887",
Crowley,Colorado,"6,061",
Custer,Colorado,"5,068",
Delta,Colorado,"31,162",
"Denver, City and County of[m]",Colorado,"727,211","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Dolores,Colorado,"2,055",
Douglas,Colorado,"351,154","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Eagle,Colorado,"55,127","Edwards, CO Micropolitan Statistical Area"
Elbert,Colorado,"26,729","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
El Paso,Colorado,"720,403","Colorado Springs, CO Metropolitan Statistical Area"
Fremont,Colorado,"47,839","Cañon City, CO Micropolitan Statistical Area"
Garfield,Colorado,"60,061","Glenwood Springs, CO Micropolitan Statistical Area"
Gilpin,Colorado,"6,243","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Grand,Colorado,"15,734",
Gunnison,Colorado,"17,462",
Hinsdale,Colorado,820,
Huerfano,Colorado,"6,897",
Jackson,Colorado,"1,392",
Jefferson,Colorado,"582,881","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Kiowa,Colorado,"1,406",
Kit Carson,Colorado,"7,097",
Lake,Colorado,"8,127",
La Plata,Colorado,"56,221","Durango, CO Micropolitan Statistical Area"
Larimer,Colorado,"356,899","Fort Collins, CO Metropolitan Statistical Area"
Las Animas,Colorado,"14,506",
Lincoln,Colorado,"5,701",
Logan,Colorado,"22,409","Sterling, CO Micropolitan Statistical Area"
Mesa,Colorado,"154,210","Grand Junction, CO Metropolitan Statistical Area"
Mineral,Colorado,769,
Moffat,Colorado,"13,283","Craig, CO Micropolitan Statistical Area"
Montezuma,Colorado,"26,183",
Montrose,Colorado,"42,758","Montrose, CO Micropolitan Statistical Area"
Morgan,Colorado,"29,068","Fort Morgan, CO Micropolitan Statistical Area"
Otero,Colorado,"18,278",
Ouray,Colorado,"4,952",
Park,Colorado,"18,845","Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
Phillips,Colorado,"4,265",
Pitkin,Colorado,"17,767","Glenwood Springs, CO Micropolitan Statistical Area"
Prowers,Colorado,"12,172",
Pueblo,Colorado,"168,424","Pueblo, CO Metropolitan Statistical Area"
Rio Blanco,Colorado,"6,324",
Rio Grande,Colorado,"11,267",
Routt,Colorado,"25,638","Steamboat Springs, CO Micropolitan Statistical Area"
Saguache,Colorado,"6,824",
San Juan,Colorado,728,
San Miguel,Colorado,"8,179",
Sedgwick,Colorado,"2,248",
Summit,Colorado,"31,011","Breckenridge, CO Micropolitan Statistical Area"
Teller,Colorado,"25,388","Colorado Springs, CO Metropolitan Statistical Area"
Washington,Colorado,"4,908",
Weld,Colorado,"324,492","Greeley, CO Metropolitan Statistical Area"
Yuma,Colorado,"10,019",
Fairfield[n],Connecticut,"943,332","Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area"
Hartford[n],Connecticut,"891,720","Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
Litchfield[n],Connecticut,"180,333","Torrington, CT Micropolitan Statistical Area"
Middlesex[n],Connecticut,"162,436","Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
New Haven[n],Connecticut,"854,757","New Haven-Milford, CT Metropolitan Statistical Area"
New London[n],Connecticut,"265,206","Norwich-New London, CT Metropolitan Statistical Area"
Tolland[n],Connecticut,"150,721","Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area"
Windham[n],Connecticut,"116,782","Worcester, MA-CT Metropolitan Statistical Area"
Kent,Delaware,"180,786","Dover, DE Metropolitan Statistical Area"
New Castle,Delaware,"558,753","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area"
Sussex,Delaware,"234,225","Salisbury, MD-DE Metropolitan Statistical Area"
District of Columbia[o],District of Columbia,"705,749","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area"
Alachua,Florida,"269,043","Gainesville, FL Metropolitan Statistical Area"
Baker,Florida,"29,210","Jacksonville, FL Metropolitan Statistical Area"
Bay,Florida,"174,705","Panama City, FL Metropolitan Statistical Area"
Bradford,Florida,"28,201",
Brevard,Florida,"601,942","Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area"
Broward,Florida,"1,952,778","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Calhoun,Florida,"14,105",
Charlotte,Florida,"188,910","Punta Gorda, FL Metropolitan Statistical Area"
Citrus,Florida,"149,657","Homosassa Springs, FL Metropolitan Statistical Area"
Clay,Florida,"219,252","Jacksonville, FL Metropolitan Statistical Area"
Collier,Florida,"384,902","Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area"
Columbia,Florida,"71,686","Lake City, FL Micropolitan Statistical Area"
DeSoto,Florida,"38,001","Arcadia, FL Micropolitan Statistical Area"
Dixie,Florida,"16,826",
Duval,Florida,"957,755","Jacksonville, FL Metropolitan Statistical Area"
Escambia,Florida,"318,316","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
Flagler,Florida,"115,081","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
Franklin,Florida,"12,125",
Gadsden,Florida,"45,660","Tallahassee, FL Metropolitan Statistical Area"
Gilchrist,Florida,"18,582","Gainesville, FL Metropolitan Statistical Area"
Glades,Florida,"13,811",
Gulf,Florida,"13,639","Panama City, FL Metropolitan Statistical Area"
Hamilton,Florida,"14,428",
Hardee,Florida,"26,937","Wauchula, FL Micropolitan Statistical Area"
Hendry,Florida,"42,022","Clewiston, FL Micropolitan Statistical Area"
Hernando,Florida,"193,920","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Highlands,Florida,"106,221","Sebring, FL Metropolitan Statistical Area"
Hillsborough,Florida,"1,471,968","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Holmes,Florida,"19,617",
Indian River,Florida,"159,923","Sebastian-Vero Beach, FL Metropolitan Statistical Area"
Jackson,Florida,"46,414",
Jefferson,Florida,"14,246","Tallahassee, FL Metropolitan Statistical Area"
Lafayette,Florida,"8,422",
Lake,Florida,"367,118","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Lee,Florida,"770,577","Cape Coral-Fort Myers, FL Metropolitan Statistical Area"
Leon,Florida,"293,582","Tallahassee, FL Metropolitan Statistical Area"
Levy,Florida,"41,503",
Liberty,Florida,"8,354",
Madison,Florida,"18,493",
Manatee,Florida,"403,253","North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
Marion,Florida,"365,579","Ocala, FL Metropolitan Statistical Area"
Martin,Florida,"161,000","Port St. Lucie, FL Metropolitan Statistical Area"
Miami-Dade,Florida,"2,716,940","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Monroe,Florida,"74,228","Key West, FL Micropolitan Statistical Area"
Nassau,Florida,"88,625","Jacksonville, FL Metropolitan Statistical Area"
Okaloosa,Florida,"210,738","Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
Okeechobee,Florida,"42,168","Okeechobee, FL Micropolitan Statistical Area"
Orange,Florida,"1,393,452","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Osceola,Florida,"375,751","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Palm Beach,Florida,"1,496,770","Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area"
Pasco,Florida,"553,947","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Pinellas,Florida,"974,996","Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
Polk,Florida,"724,777","Lakeland-Winter Haven, FL Metropolitan Statistical Area"
Putnam,Florida,"74,521","Palatka, FL Micropolitan Statistical Area"
St. Johns,Florida,"264,672","Jacksonville, FL Metropolitan Statistical Area"
St. Lucie,Florida,"328,297","Port St. Lucie, FL Metropolitan Statistical Area"
Santa Rosa,Florida,"184,313","Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area"
Sarasota,Florida,"433,742","North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area"
Seminole,Florida,"471,826","Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
Sumter,Florida,"132,420","The Villages, FL Metropolitan Statistical Area"
Suwannee,Florida,"44,417",
Taylor,Florida,"21,569",
Union,Florida,"15,237",
Volusia,Florida,"553,284","Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area"
Wakulla,Florida,"33,739","Tallahassee, FL Metropolitan Statistical Area"
Walton,Florida,"74,071","Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area"
Washington,Florida,"25,473",
Appling,Georgia,"18,386",
Atkinson,Georgia,"8,165",
Bacon,Georgia,"11,164",
Baker,Georgia,"3,038","Albany, GA Metropolitan Statistical Area"
Baldwin,Georgia,"44,890","Milledgeville, GA Micropolitan Statistical Area"
Banks,Georgia,"19,234",
Barrow,Georgia,"83,240","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Bartow,Georgia,"107,738","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Ben Hill,Georgia,"16,700","Fitzgerald, GA Micropolitan Statistical Area"
Berrien,Georgia,"19,397",
Bibb,Georgia,"153,159","Macon, GA Metropolitan Statistical Area"
Bleckley,Georgia,"12,873",
Brantley,Georgia,"19,109","Brunswick, GA Metropolitan Statistical Area"
Brooks,Georgia,"15,457","Valdosta, GA Metropolitan Statistical Area"
Bryan,Georgia,"39,627","Savannah, GA Metropolitan Statistical Area"
Bulloch,Georgia,"79,608","Statesboro, GA Micropolitan Statistical Area"
Burke,Georgia,"22,383","Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Butts,Georgia,"24,936","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Calhoun,Georgia,"6,189",
Camden,Georgia,"54,666","St. Marys, GA Micropolitan Statistical Area"
Candler,Georgia,"10,803",
Carroll,Georgia,"119,992","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Catoosa,Georgia,"67,580","Chattanooga, TN-GA Metropolitan Statistical Area"
Charlton,Georgia,"13,392",
Chatham,Georgia,"289,430","Savannah, GA Metropolitan Statistical Area"
Chattahoochee,Georgia,"10,907","Columbus, GA-AL Metropolitan Statistical Area"
Chattooga,Georgia,"24,789","Summerville, GA Micropolitan Statistical Area"
Cherokee,Georgia,"258,773","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Clarke,Georgia,"128,331","Athens-Clarke County, GA Metropolitan Statistical Area"
Clay,Georgia,"3,045",
Clayton,Georgia,"292,256","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Clinch,Georgia,"6,618",
Cobb,Georgia,"760,141","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Coffee,Georgia,"43,273","Douglas, GA Micropolitan Statistical Area"
Colquitt,Georgia,"45,600","Moultrie, GA Micropolitan Statistical Area"
Columbia,Georgia,"156,714","Augusta-Richmond County, GA-SC Metropolitan Statistical Area"
Cook,Georgia,"17,270",
Coweta,Georgia,"148,509","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Crawford,Georgia,"12,404","Macon, GA Metropolitan Statistical Area"
Crisp,Georgia,"22,372","Cordele, GA Micropolitan Statistical Area"
Dade,Georgia,"16,116","Chattanooga, TN-GA Metropolitan Statistical Area"
Dawson,Georgia,"26,108","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Decatur,Georgia,"26,404","Bainbridge, GA Micropolitan Statistical Area"
DeKalb,Georgia,"759,297","Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area"
Dodge,Georgia,"20,605",
Dooly,Georgia,"13,390",
Dougherty,Georgia,"87,956","Albany, GA Metropolitan Statistical Area"
